design,alpha_mapping,objective,alpha_share,n_eff,top3,median,q10,best,median_alpha_active,median_alpha_inactive,frac_alpha_below_bin_edge,frac_alpha_below_0.02
sum-to-one,"linear [0, 1] (current)",mae,0.6721868621288151,2.039174830877033,"alpha 67%, emb_scaler 19%, batch_size 3%",0.9165080310671607,0.6409075854799041,0.255377369459273,0.6452313066140447,0.919552463414796,0.77595,0.78845
sum-to-one,"linear [0, 1] (current)",rmse,0.6509626500342687,2.065449519920694,"alpha 65%, emb_scaler 24%, batch_size 3%",1.462238718537435,1.183191871560763,0.6693322140933122,1.1916302084223451,1.4647086406249126,0.77595,0.78845
sum-to-one,"log [0.001, 1]",mae,0.3500108102150268,4.1546937855865815,"alpha 35%, emb_scaler 33%, batch_size 6%",0.9185519540073177,0.8421993880463272,0.42451829630543597,0.9139912826741466,0.919552463414796,0.91695,0.969
sum-to-one,"log [0.001, 1]",rmse,0.3548599787011318,3.1283179285673666,"emb_scaler 43%, alpha 35%, batch_size 5%",1.4639825509054816,1.3489198684269865,0.9502929554450925,1.4588145385940667,1.4647086406249126,0.91695,0.969
sum-to-one,"log [0.01, 1]",mae,0.4715033848039331,3.3464793868736917,"alpha 47%, emb_scaler 26%, batch_size 5%",0.8442362718751616,0.7224801543404382,0.35922394872542707,0.7766824076459253,0.8487746780561399,0.0,0.8768
sum-to-one,"log [0.01, 1]",rmse,0.48441673699867704,2.776231586997761,"alpha 48%, emb_scaler 35%, batch_size 4%",1.4267783030315586,1.2300052839982347,0.8502558638325438,1.2789382108507414,1.4295054671017307,0.0,0.8768
sum-to-one,"log [0.1, 1]",mae,0.08239122783795406,1.9903625243698468,"emb_scaler 70%, alpha 8%, batch_size 7%",0.6704253949721108,0.4240083022736377,0.26020056765728855,0.6399046748923504,0.673867862639508,0.0,0.0
sum-to-one,"log [0.1, 1]",rmse,0.06358904194711257,2.3522816961130584,"emb_scaler 64%, batch_size 10%, alpha 6%",1.1978807221193086,0.9973521238537716,0.6315822305464082,1.1789205959875992,1.200694797207717,0.0,0.0
sum-to-one,"linear [0.1, 1]",mae,0.10607449076108705,2.073997517340773,"emb_scaler 68%, alpha 11%, batch_size 7%",0.6705689687555019,0.41937195939992883,0.24966494449135324,0.6372577971092674,0.673867862639508,0.0,0.0
sum-to-one,"linear [0.1, 1]",rmse,0.09848298998933883,2.4574728002056525,"emb_scaler 62%, alpha 10%, batch_size 9%",1.1981684838482947,0.9921165082865291,0.6315822305464082,1.1765213640789163,1.200694797207717,0.0,0.0
box,"linear [0, 1] (current)",mae,0.32326244731227166,5.568666348313876,"alpha 32%, emb_scaler 18%, epochs_step 17%",0.33396251666349763,0.26571959736308887,0.18018180797001354,0.33396251666349763,,0.00575,0.021
box,"linear [0, 1] (current)",rmse,0.301681934487181,5.999565340946312,"alpha 30%, emb_scaler 18%, epochs_step 17%",0.7643167169603964,0.6559995193114663,0.46881275495309005,0.7643167169603964,,0.00575,0.021
box,"log [0.001, 1]",mae,0.6298497984491903,2.3772290694645966,"alpha 63%, emb_scaler 13%, batch_size 5%",0.6083282958107898,0.30925526943328685,0.17771640417887166,0.6083282958107898,,0.235,0.42915
box,"log [0.001, 1]",rmse,0.5813785953415442,2.671796887076424,"alpha 58%, emb_scaler 16%, epochs_step 8%",1.134456756796924,0.7260118247785848,0.480373167542059,1.134456756796924,,0.235,0.42915
box,"log [0.01, 1]",mae,0.5087318773843873,3.258559789123922,"alpha 51%, emb_scaler 18%, epochs_step 9%",0.4540648142643312,0.29115863480537946,0.1778830207462658,0.4540648142643312,,0.0,0.15165
box,"log [0.01, 1]",rmse,0.48375841866880787,3.485877605099889,"alpha 48%, emb_scaler 18%, epochs_step 12%",0.9433866286492736,0.6989654921637223,0.48082531530802947,0.9433866286492736,,0.0,0.15165
box,"log [0.1, 1]",mae,0.21641537198320837,6.452718396033728,"emb_scaler 22%, alpha 22%, epochs_step 21%",0.3399899035618064,0.26695577572685136,0.18048408258896967,0.3399899035618064,,0.0,0.0
box,"log [0.1, 1]",rmse,0.1968467890903833,6.844478222759346,"emb_scaler 22%, epochs_step 21%, alpha 20%",0.7689981579400842,0.6572093285455829,0.47093713713065954,0.7689981579400842,,0.0,0.0
box,"linear [0.1, 1]",mae,0.16072805190048423,7.145104794917869,"epochs_step 23%, emb_scaler 21%, alpha 16%",0.32644120180114433,0.2629531922704599,0.17985082330640118,0.32644120180114433,,0.0,0.0
box,"linear [0.1, 1]",rmse,0.14212645176611133,7.678703498671951,"epochs_step 21%, emb_scaler 20%, alpha 14%",0.7537799363203439,0.6503024661406477,0.47331042766519943,0.7537799363203439,,0.0,0.0
