hyperparameter,N,alpha,d_model,dim_feedforward,dropout,emb_scaler,epochs_step,eps,fudge,heads,k,lr,pe_resolution,ple_resolution,pos_scaler,weight_decay,batch_size,out_hidden4,betas1,betas2
property,X,velocity_of_sound,van_der_waals_radius,row,ionization_energy,youngs_modulus,group,melting_point,thermal_conductivity,electrical_resistivity,Z,density_of_solid,mendeleev_no,atomic_radius,max_oxidation_state,coefficient_of_linear_thermal_expansion,electron_affinity,molar_volume,atomic_mass,average_ionic_radius
element,,,,,,,,,,,,,,,,,,,,
Al,0.292453,0.726817,0.22,0.0,0.0,0.059809,0.916667,0.134295,0.864914,0.041103,0.015873,0.049891,0.861111,0.333333,0.2,0.742754,0.523923,0.351546,0.016532,0.3375
Co,0.54717,0.631579,0.54,0.333333,0.556045,0.392344,0.583333,0.39591,0.647911,0.113889,0.238095,0.371434,0.416667,0.555556,0.6,0.376812,0.638095,0.008247,0.213884,0.570833
Cr,0.339623,0.937343,0.66,0.333333,0.229062,0.2,0.333333,0.525066,0.632196,0.18224,0.190476,0.280158,0.222222,0.666667,0.440191,0.083333,0.644851,0.065979,0.171036,1.0
Cu,0.566038,0.343358,0.46,0.333333,0.510679,0.203349,0.75,0.267308,1.0,0.0,0.269841,0.372472,0.638889,0.555556,0.4,0.503623,0.923496,0.053608,0.242375,0.7
Fe,0.5,0.679198,0.62,0.333333,0.562341,0.2,0.5,0.40939,0.591237,0.160453,0.222222,0.318224,0.333333,0.666667,0.602871,0.333333,0.384786,0.051546,0.194809,0.78125
Hf,0.0,0.203008,1.0,1.0,0.246243,0.078947,0.166667,0.627263,0.274645,0.272003,0.952381,0.600145,0.027778,1.0,0.4,0.119565,0.397144,0.706186,0.775,0.952335
Mg,0.009434,0.602005,0.0,0.0,0.487165,0.0,0.0,0.131013,0.767282,0.085618,0.0,0.0,0.666667,0.888889,0.0,0.202899,0.099526,0.763918,0.0,0.8
Mn,0.235849,0.739348,0.64,0.333333,0.424908,0.0,0.416667,0.317851,0.0,0.403578,0.206349,0.297272,0.305556,0.666667,0.633971,0.692029,0.049763,0.078351,0.189207,0.270833
Mo,0.811321,1.0,0.88,0.666667,0.324684,0.2,0.333333,0.749523,0.731547,0.105958,0.47619,0.443004,0.194444,0.777778,0.320574,0.07971,0.680426,0.287629,0.442459,0.5875
Nb,0.283019,0.320802,0.9,0.666667,0.226815,0.143541,0.25,0.703754,0.491413,0.198619,0.460317,0.35432,0.111111,0.777778,0.6,0.17029,0.765061,0.437113,0.423722,0.7
Ni,0.575472,0.694236,0.48,0.333333,0.4853,0.370813,0.666667,0.38337,0.623958,0.130509,0.253968,0.371849,0.5,0.555556,0.4,0.391304,0.88437,0.0,0.212403,0.5
Re,0.566038,0.626566,0.86,1.0,0.542112,0.0,0.416667,0.926017,0.461499,0.214031,1.0,1.0,0.25,0.555556,0.0,0.130435,0.338586,0.234021,0.43125,1.0
Si,0.566038,0.0,0.74,0.0,0.635457,0.004785,1.0,0.370517,0.75089,1.0,0.031746,0.030702,1.0,0.0,0.4,0.0,1.0,0.563918,0.0,0.023351
Sn,0.622642,0.075188,0.88,0.666667,0.398468,0.011962,1.0,0.0,0.546198,0.173192,0.603175,0.288974,0.944444,0.777778,0.4,0.702899,0.861932,1.0,0.5831,0.725
Ta,0.188679,0.300752,0.98,1.0,0.458804,0.337321,0.25,0.873038,0.505145,0.187808,0.968254,0.773364,0.083333,0.777778,0.6,0.134058,0.469326,0.439175,0.7,0.967517
Ti,0.226415,0.486216,0.76,0.333333,0.247138,0.169856,0.166667,0.450143,0.263355,0.286817,0.15873,0.143605,0.055556,0.666667,0.4,0.217391,0.346125,0.417526,0.145532,0.779167
V,0.311321,0.591479,0.68,0.333333,0.223099,0.198565,0.25,0.526007,0.350456,0.223635,0.174603,0.22674,0.138889,0.555556,0.6,0.210145,0.571112,0.178351,0.164522,0.59375
W,1.0,0.745363,0.9,1.0,0.551064,0.2,0.333333,1.0,0.782679,0.104286,0.984127,0.908205,0.166667,0.555556,0.124402,0.068841,0.714731,0.296907,0.566667,0.98538
Zn,0.330189,0.37594,0.56,0.333333,1.0,0.150718,0.833333,0.05881,0.694217,0.113889,0.285714,0.280158,0.75,0.555556,0.0,1.0,0.0,0.264948,0.253882,0.85
Zr,0.028302,0.401003,1.0,0.666667,0.190222,0.055024,0.166667,0.508765,0.274645,0.294043,0.444444,0.247537,0.0,1.0,0.4,0.112319,0.524149,0.765979,0.41333,0.8
