input,mae,rmse,runtime,model_size,mae_runs
N,0.1055809072687266,0.08745444382656054,-0.6909865745318899,-0.8484884734291049,-0.008613383681856823
alpha,1.5742450885219594,0.7902522701064625,-0.005536986263760535,0.00032886547071075967,0.6150826230258053
d_model,0.033825765240412364,0.022582025236256076,-0.15877336033817957,-0.9106358724780766,0.07911557298726457
dim_feedforward,0.008444279640747787,0.0079468736266739,-0.028608926722653583,-0.4960410329044561,-0.06477408842755372
dropout,0.003653048964174621,-0.004455085679714088,-0.0016201537116207199,0.000547297789967649,-0.0171415014378129
emb_scaler,0.7054639785142023,0.48062006724162254,-0.00722727144786095,0.0006382686712940178,0.357509684995891
epochs_step,0.26342166656524,0.16866408820935352,-0.671593614770768,0.00016020060066690434,0.23825433446190636
eps,-0.007207281994157766,-0.006764024079358721,-0.0028604515710057843,0.0001795645297337778,0.006309953598436779
fudge,-0.06750038281514414,-0.05304830840723185,-0.009559304365332588,-0.000179267459106347,-0.09521732722737741
heads,0.0024963652087224286,0.0009013646908822004,0.0007211570209024742,4.249720122073697e-05,-0.016600060178398324
k,-0.00945522620307604,-0.008890978924568471,0.00639354787383728,0.00015677197757524297,0.010668183894448013
lr,0.002789647233560011,0.0030873629854797358,0.006773489599806393,-3.110660157168432e-05,0.003651890483709286
pe_resolution,-0.009576210466042512,-0.005836632208437442,0.0008047509854700596,-0.0004184222713708996,0.0657710040299524
ple_resolution,-0.012575027835761698,-0.0071907782464756265,-0.0027095346980174906,-4.319983132494709e-05,0.028950534458052957
pos_scaler,-0.3520880477198087,-0.277588745910045,-0.00913892131244698,-0.0005008384005537048,-0.15545139771860428
weight_decay,-0.12554854653171277,-0.10146455971401425,0.0028110456256145167,-0.0003690652854853038,-0.030014306156747717
batch_size,-0.07768013170628263,-0.040150304407296944,4.330049441833813,-9.288941125973338e-05,-0.09213784263367097
out_hidden4,0.011053828507812558,0.0019399335346921287,2.0080114703224794e-05,-1.3391700295573017e-05,0.004230573871913057
betas1,-0.10791209519980238,-0.060983950335391834,-0.002256489316325716,-0.0001557088944699192,-0.33176909427679324
betas2,0.00010829960672631422,-0.00330949224787469,0.0012406646132732124,0.00012240272770736027,-0.0015242200488666535
